Brand,Device,Buttplug-C#,Buttplug-JS,Win7,Win8,Win10 14939,Win10 15063,macOS,Linux,Android,ChromeOS,iOS,Notes
Vibratissimo,Anal Plug,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Curly,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Licker,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,LieDown,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,VibroEgg,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,ZickZack,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,Mini,1,0,,,,buttplug-c#,,,,,,
Vibratissimo,A-Men,1,0,,,,buttplug-c#,,,,,,
Nalone,Rhythm X2,0,0,,,,,,,,,,
Nalone,Oxxy,0,0,,,,,,,,,,
Hum,Hum,0,0,,,,,,,,,,
Birdi Solutions,Birdi,0,0,,,,,,,,,,
Honey Birdette,Vive!,0,0,,,,,,,,,,
Honey Birdette,Duke Plus,0,0,,,,,,,,,,
Lovelife,Krush,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Zentoy,Zentoy,0,0,,,,,,,,,,
B-Sensory,Little Bird,0,0,,,,,,,,,,
Klic-Klic,Klic-1001 Female,0,0,,,,,,,,,,
Klic-Klic,Klic-1002 Male,0,0,,,,,,,,,,
Je Joue,Dua,0,0,,,,,,,,,,
Je Joue,Nuo,0,0,,,,,,,,,,
PelviFly,PelviFly,0,0,,,,,,,,,,
Perifit,Perifit,0,0,,,,,,,,,,
CST Group,Venuz Bala,0,0,,,,,,,,,,
CST Group,Smart Dito A,0,0,,,,,,,,,,
CST Group,Smart Dito B,0,0,,,,,,,,,,
CST Group,Smart Dito C,0,0,,,,,,,,,,
CST Group,Smart Dito D,0,0,,,,,,,,,,
CST Group,Smart Ladi,0,0,,,,,,,,,,
CST Group,Hackbuteer,0,0,,,,,,,,,,
CST Group,Mosadi,0,0,,,,,,,,,,
CST Group,Lava,0,0,,,,,,,,,,
CST Group,Lagi/Luv GS,0,0,,,,,,,,,,
CST Group,Rigee/Venuz RC,0,0,,,,,,,,,,
CST Group,Smart iBall,0,0,,,,,,,,,,
G Vibe,Gballs,0,0,,,,,,,,,,
Leten,Z9 Intelligent,0,0,,,,,,,,,,
Leten,Nico,0,0,,,,,,,,,,
Leten,Lisa,0,0,,,,,,,,,,
Leten,Sara,0,0,,,,,,,,,,
Leten,Sisi,0,0,,,,,,,,,,
Leten,Nala,0,0,,,,,,,,,,
Leten,Luc,0,0,,,,,,,,,,
Leten,Kelly,0,0,,,,,,,,,,
Leten,Emily,0,0,,,,,,,,,,
Leten,Coco,0,0,,,,,,,,,,
Leten,Lily,0,0,,,,,,,,,,
Rends,X10 Cyclone USB,1,0,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
BKK,VR Stroker,0,0,,,,,,,,,,
BKK,Stroking Bracelet,0,0,,,,,,,,,,
JimieJane,Form1,0,0,,,,,,,,,,
RealTouch,RealTouch,1,0,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
Nintendo,Wiimote,0,0,,,,,,,,,,
Nintendo,Joycon,1,0,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
Segment,Virtual Hole,0,0,,,,,,,,,,
Oculus,Touch,0,0,,,,,,,,,,
HTC/Vive,Vive Controller,0,0,,,,,,,,,,
HTC/Vive,Vive Knuckles,0,0,,,,,,,,,,
Novint,Falcon,0,0,,,,,,,,,,
OpenFuck,OpenFuck Machine v1 (air compressor),0,0,,,,,,,,,,
OpenFuck,OpenFuck Machine v2 (servo driven belt),0,0,,,,,,,,,,
Shockspot,Shockspot Machine,0,0,,,,,,,,,,
Erostek,ET-312B,1,0,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
Erostek,ET-232,0,0,,,,,,,,,,
Estim Systems,2B,0,0,,,,,,,,,,
MK,MK-312BT,1,0,buttplug-c#,buttplug-c#,buttplug-c#,buttplug-c#,,,,,,
Highjoy,,0,0,,,,,,,,,,
Sinulate,,0,0,,,,,,,,,,
Safe Sex Plus,,0,0,,,,,,,,,,
Nobra,Digital Controller,0,0,,,,,,,,,,
MotorBunny,Original,0,0,,,,,,,,,,
MotorBunny,Buck,0,0,,,,,,,,,,
LoveNuts,Undercover vibrator,0,0,,,,,,,,,,
Lioness,,0,0,,,,,,,,,,
Sirens,Ares,0,0,,,,,,,,,,
Sirens,Venus,0,0,,,,,,,,,,
YouCups,Warrior II,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
COTR,The Cowgirl,0,0,,,,,,,,,,
KC TECH ,MAXPRO,0,1,,,,,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Hisionlee,Vibration Wireless bluetooth Toy,0,0,,,,,,,,,,
PornHub,Virtual Rabbit,0,0,,,,,,,,,,
PornHub,Virtual Blowbot Stroker,0,0,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
PornHub,Virtual Blowbot Turbo Stroker,1,1,,,,,,,,,,
Xoolover,Rosa2,0,0,,,,,,,,,,
Oivita,OVibe,0,0,,,,,,,,,,
Oivita,ORing,0,0,,,,,,,,,,
Quadragon HK,Bigodicky Top,0,0,,,,,,,,,,
Quadragon HK,Bigodicky Bottom,0,0,,,,,,,,,,
Quadragon HK,ZiZi,0,0,,,,,,,,,,
TOUCH-in-TOUCH,TOUCH-in-TOUCH,0,0,,,,,,,,,,
Opro,Opro2x,0,0,,,,,,,,,,
Cueme,Cueme 2 Mens Underwear,0,0,,,,,,,,,,
Cueme,Cueme 2 Womens Underwear,0,0,,,,,,,,,,
Cueme,Cueme 1 Bra,1,0,,,,buttplug-c#,,,,,,
Cueme,Cueme 1 Men's Underwear,1,0,,,,buttplug-c#,,,,,,
